# Frame  eRMDSD     RMSD
      0 1.6459e+00 5.1257e-01 
      1 1.6265e+00 5.1314e-01 
      2 1.5599e+00 5.0140e-01 
      3 6.4304e-01 2.5737e-01 
      4 7.3371e-01 1.5771e-01 
      5 7.2330e-01 2.4017e-01 
      6 7.0416e-01 2.2741e-01 
      7 4.9067e-01 1.9760e-01 
      8 8.3657e-01 2.3584e-01 
      9 4.3647e-01 1.8974e-01 
     10 1.6172e+00 5.0137e-01 
     11 1.5628e+00 5.2906e-01 
     12 8.7727e-01 1.7345e-01 
     13 4.0449e-01 1.3850e-01 
     14 5.1404e-01 1.8859e-01 
     15 7.6593e-01 2.4070e-01 
     16 4.4317e-01 1.7941e-01 
     17 8.4140e-01 2.2857e-01 
     18 1.6392e+00 5.1828e-01 
     19 1.6117e+00 4.8969e-01 
     20 5.3667e-01 2.0092e-01 
     21 4.6478e-01 1.9234e-01 
     22 7.7405e-01 2.5515e-01 
     23 1.6204e+00 5.1979e-01 
     24 5.2586e-01 2.4462e-01 
     25 8.9990e-01 2.8040e-01 
     26 1.6271e+00 5.3595e-01 
     27 6.2848e-01 1.7875e-01 
     28 5.8661e-01 2.1668e-01 
     29 1.6652e+00 5.0122e-01 
     30 9.4893e-01 3.1021e-01 
     31 1.6602e+00 5.1402e-01 
     32 4.6015e-01 2.1341e-01 
     33 1.6606e+00 5.3990e-01 
     34 1.5976e+00 5.1520e-01 
     35 1.6187e+00 5.2521e-01 
     36 1.6618e+00 5.1868e-01 
     37 6.2409e-01 2.3651e-01 
     38 4.1696e-01 1.7820e-01 
     39 3.9095e-01 1.7991e-01 
     40 4.3051e-01 1.0575e-01 
     41 8.4890e-01 2.3909e-01 
     42 8.5123e-01 2.3680e-01 
     43 7.1843e-01 2.6699e-01 
     44 1.6668e+00 5.3108e-01 
     45 6.4411e-01 2.0604e-01 
     46 5.7371e-01 1.9630e-01 
     47 5.6542e-01 1.8806e-01 
     48 7.2112e-01 2.7537e-01 
     49 1.4882e+00 5.3828e-01 
     50 9.1942e-01 3.0787e-01 
     51 5.8739e-01 2.0573e-01 
     52 7.7934e-01 2.3027e-01 
     53 7.2219e-01 2.5860e-01 
     54 3.3014e-01 1.6723e-01 
     55 1.5839e+00 4.8838e-01 
     56 5.9610e-01 2.5688e-01 
     57 1.4241e+00 4.9050e-01 
     58 6.7377e-01 2.4755e-01 
     59 5.7662e-01 2.4815e-01 
     60 5.5355e-01 2.2769e-01 
     61 5.6244e-01 2.2586e-01 
     62 1.2493e+00 4.0568e-01 
     63 3.8440e-01 1.4678e-01 
     64 5.2216e-01 1.5869e-01 
     65 1.6155e+00 4.8381e-01 
     66 9.1761e-01 2.9783e-01 
     67 9.2452e-01 3.0762e-01 
     68 7.4612e-01 2.1281e-01 
     69 6.4944e-01 2.1691e-01 
     70 1.6240e+00 4.9684e-01 
     71 1.5068e+00 5.1799e-01 
     72 1.6643e+00 5.1481e-01 
     73 1.4532e+00 5.2127e-01 
     74 1.4731e+00 5.1769e-01 
     75 4.9067e-01 2.2248e-01 
     76 8.5412e-01 2.4778e-01 
     77 6.4623e-01 2.2462e-01 
     78 9.0918e-01 2.5129e-01 
     79 1.6038e+00 5.0691e-01 
     80 1.6149e+00 5.1573e-01 
     81 6.5623e-01 1.9878e-01 
     82 3.7746e-01 1.1871e-01 
     83 3.5454e-01 1.5451e-01 
     84 4.3441e-01 1.5862e-01 
     85 5.4040e-01 1.8994e-01 
     86 8.3797e-01 2.4291e-01 
     87 1.5701e+00 5.1149e-01 
     88 8.4486e-01 2.6681e-01 
     89 9.0675e-01 2.9422e-01 
     90 5.9380e-01 1.2979e-01 
     91 4.8776e-01 2.0683e-01 
     92 9.0948e-01 1.8187e-01 
     93 3.8485e-01 1.2847e-01 
     94 8.4462e-01 1.6347e-01 
     95 1.5528e+00 5.2363e-01 
     96 8.4237e-01 2.0346e-01 
     97 9.5472e-01 2.9702e-01 
     98 1.5454e+00 5.3038e-01 
     99 1.6753e+00 5.2667e-01 
    100 1.7167e+00 5.8710e-01 
    101 1.6039e+00 5.1505e-01 
    102 5.2109e-01 1.8991e-01 
    103 9.5281e-01 2.7081e-01 
    104 1.6553e+00 5.2010e-01 
    105 1.5732e+00 4.7860e-01 
    106 1.5660e+00 4.4959e-01 
    107 8.1136e-01 2.4791e-01 
    108 1.6567e+00 5.1996e-01 
    109 1.6392e+00 5.1444e-01 
    110 8.7876e-01 2.9815e-01 
    111 8.8783e-01 2.9356e-01 
    112 8.4805e-01 2.5310e-01 
    113 1.5890e+00 4.9297e-01 
    114 9.1227e-01 2.8068e-01 
    115 1.6239e+00 5.2477e-01 
    116 1.5154e+00 4.5739e-01 
    117 1.5377e+00 4.4699e-01 
    118 5.7593e-01 2.0185e-01 
    119 1.7148e+00 5.6703e-01 
    120 1.6052e+00 5.0797e-01 
    121 5.7230e-01 2.1704e-01 
    122 1.4881e+00 4.5136e-01 
    123 1.0567e+00 3.1247e-01 
    124 1.5536e+00 4.5706e-01 
    125 1.5611e+00 4.6197e-01 
    126 1.5239e+00 4.6885e-01 
    127 1.5782e+00 4.5361e-01 
    128 9.2214e-01 3.0617e-01 
    129 1.0044e+00 3.9049e-01 
    130 1.5208e+00 4.3491e-01 
    131 4.3467e-01 1.7380e-01 
