# Frame  eRMDSD     RMSD
    132 5.5311e-01 1.9962e-01 
    133 1.5278e+00 4.5079e-01 
    134 8.4747e-01 2.7797e-01 
    135 1.6962e+00 5.5762e-01 
    136 1.6891e+00 5.6874e-01 
    137 4.7859e-01 2.0357e-01 
    138 9.4643e-01 3.4969e-01 
    139 8.8434e-01 3.2869e-01 
    140 1.6424e+00 5.0661e-01 
    141 9.4315e-01 2.8408e-01 
    142 5.7620e-01 2.2258e-01 
    143 9.8402e-01 2.8106e-01 
    144 6.7916e-01 2.2037e-01 
    145 4.2509e-01 1.2386e-01 
    146 5.3763e-01 2.0021e-01 
    147 1.3855e+00 4.8641e-01 
    148 3.9123e-01 1.7173e-01 
    149 4.8726e-01 1.7841e-01 
    150 1.3728e+00 4.8313e-01 
    151 9.7548e-01 2.7051e-01 
    152 1.4166e+00 4.7809e-01 
    153 1.6517e+00 5.1730e-01 
    154 9.4583e-01 2.6264e-01 
    155 4.2392e-01 2.1729e-01 
    156 7.4638e-01 2.5387e-01 
    157 7.3510e-01 2.7742e-01 
    158 5.9043e-01 2.1680e-01 
    159 5.4877e-01 1.9552e-01 
    160 3.7429e-01 1.7690e-01 
    161 1.5788e+00 5.2745e-01 
    162 4.9257e-01 2.0677e-01 
    163 1.6428e+00 5.2156e-01 
    164 1.5826e+00 4.6053e-01 
    165 1.6095e+00 5.1838e-01 
    166 1.5613e+00 5.1942e-01 
    167 1.6236e+00 5.0682e-01 
    168 3.9058e-01 1.1150e-01 
    169 1.5855e+00 5.1647e-01 
    170 1.6699e+00 5.1324e-01 
    171 5.3047e-01 2.5169e-01 
    172 1.5983e+00 5.3441e-01 
    173 1.6431e+00 4.8481e-01 
    174 1.6753e+00 5.1672e-01 
    175 6.2186e-01 2.5344e-01 
    176 1.5633e+00 4.9701e-01 
    177 5.4301e-01 2.4116e-01 
    178 1.6047e+00 4.8960e-01 
    179 7.8931e-01 2.6960e-01 
    180 5.8438e-01 2.1484e-01 
    181 4.8722e-01 1.8015e-01 
    182 1.6227e+00 5.2909e-01 
    183 1.6533e+00 5.1315e-01 
    184 5.4843e-01 1.9021e-01 
    185 1.5685e+00 4.9826e-01 
    186 4.6236e-01 1.6245e-01 
    187 1.6148e+00 5.0907e-01 
    188 1.7231e+00 5.8743e-01 
    189 1.6215e+00 5.0372e-01 
    190 8.7195e-01 2.8072e-01 
    191 7.4862e-01 2.3471e-01 
    192 6.2184e-01 1.9134e-01 
    193 1.5595e+00 4.7864e-01 
    194 1.5415e+00 5.0453e-01 
    195 1.6282e+00 4.9454e-01 
    196 9.4844e-01 2.7361e-01 
    197 1.6046e+00 5.1797e-01 
    198 1.5571e+00 4.7906e-01 
    199 1.5930e+00 4.8300e-01 
    200 4.9969e-01 1.4362e-01 
    201 4.5507e-01 2.0012e-01 
    202 8.4942e-01 2.9711e-01 
    203 5.7970e-01 2.1165e-01 
    204 1.6047e+00 4.8582e-01 
    205 1.6075e+00 5.0073e-01 
    206 1.5907e+00 4.9264e-01 
    207 1.6735e+00 5.2316e-01 
    208 5.5323e-01 1.9932e-01 
    209 4.7368e-01 1.3865e-01 
    210 1.6849e+00 5.1948e-01 
    211 1.6794e+00 5.1891e-01 
    212 8.3384e-01 2.7503e-01 
    213 5.1779e-01 1.7245e-01 
    214 1.6442e+00 5.2293e-01 
    215 1.5963e+00 5.0531e-01 
    216 1.6641e+00 4.9022e-01 
    217 4.9823e-01 1.6764e-01 
    218 8.3512e-01 2.5680e-01 
    219 8.1776e-01 2.4611e-01 
    220 1.6761e+00 5.1344e-01 
    221 4.5418e-01 2.0308e-01 
    222 1.6260e+00 4.9701e-01 
    223 1.6470e+00 4.9268e-01 
    224 7.7001e-01 2.2976e-01 
    225 5.9227e-01 1.8651e-01 
    226 8.1770e-01 2.7663e-01 
    227 5.1935e-01 1.7982e-01 
    228 1.6784e+00 5.3503e-01 
    229 1.6479e+00 5.1457e-01 
    230 1.6623e+00 5.1944e-01 
    231 3.9045e-01 1.3621e-01 
    232 7.8157e-01 3.4418e-01 
    233 1.5780e+00 4.8723e-01 
    234 1.6375e+00 5.2537e-01 
    235 1.6242e+00 5.0994e-01 
    236 1.6617e+00 5.0886e-01 
    237 1.6218e+00 5.1478e-01 
    238 5.5327e-01 2.2841e-01 
    239 8.7103e-01 2.9145e-01 
    240 1.6598e+00 5.2520e-01 
    241 4.8735e-01 2.0162e-01 
    242 4.3898e-01 2.1672e-01 
    243 9.1171e-01 2.9300e-01 
    244 7.8081e-01 1.7229e-01 
    245 1.4082e+00 4.7593e-01 
    246 1.6411e+00 5.1916e-01 
    247 1.6487e+00 5.0765e-01 
    248 1.6472e+00 5.1436e-01 
    249 1.5317e+00 4.7095e-01 
    250 4.2322e-01 1.1539e-01 
    251 6.9913e-01 2.1331e-01 
    252 1.6847e+00 5.3734e-01 
    253 1.6039e+00 4.7465e-01 
    254 1.7270e+00 5.3710e-01 
    255 1.6570e+00 5.2770e-01 
    256 1.6499e+00 5.3091e-01 
    257 1.6792e+00 5.2435e-01 
    258 1.6638e+00 5.3592e-01 
    259 1.6747e+00 5.1467e-01 
    260 1.5963e+00 5.2097e-01 
    261 5.0778e-01 1.9029e-01 
    262 1.6041e+00 5.2732e-01 
    263 1.6850e+00 5.0816e-01 
    264 1.6750e+00 5.2041e-01 
    265 1.5154e+00 4.6024e-01 
    266 1.5568e+00 4.6320e-01 
    267 1.5509e+00 4.7090e-01 
    268 1.5478e+00 4.5302e-01 
    269 1.5007e+00 4.5809e-01 
    270 1.5247e+00 5.0088e-01 
    271 1.5117e+00 4.7504e-01 
    272 9.2401e-01 3.8180e-01 
    273 9.0645e-01 2.9070e-01 
    274 1.5673e+00 4.8006e-01 
    275 1.4982e+00 4.7610e-01 
    276 1.5917e+00 4.8331e-01 
    277 1.4571e+00 4.6188e-01 
    278 8.8950e-01 3.9582e-01 
    279 1.6468e+00 5.0764e-01 
    280 1.5500e+00 4.7281e-01 
    281 1.6589e+00 5.0523e-01 
    282 1.5741e+00 4.6905e-01 
    283 9.0966e-01 3.0048e-01 
    284 1.5407e+00 5.6253e-01 
    285 1.5436e+00 4.7901e-01 
    286 1.4687e+00 4.4566e-01 
    287 5.1423e-01 1.8565e-01 
    288 8.6407e-01 3.5438e-01 
    289 1.6530e+00 5.1020e-01 
    290 1.4665e+00 4.4341e-01 
    291 1.5642e+00 5.4486e-01 
    292 1.6147e+00 4.9535e-01 
    293 1.4941e+00 4.6925e-01 
    294 1.5239e+00 4.7738e-01 
    295 1.5727e+00 4.6609e-01 
    296 1.4895e+00 4.7545e-01 
    297 1.5716e+00 5.0330e-01 
    298 1.6065e+00 4.8314e-01 
    299 1.5535e+00 4.8241e-01 
    300 1.6653e+00 5.2031e-01 
    301 1.6101e+00 4.7276e-01 
    302 1.5524e+00 4.7250e-01 
    303 1.5710e+00 4.8296e-01 
    304 4.3542e-01 1.3257e-01 
    305 1.4871e+00 4.8105e-01 
    306 8.7994e-01 3.3627e-01 
    307 1.6505e+00 4.7895e-01 
    308 8.7587e-01 2.7451e-01 
    309 5.0817e-01 1.9552e-01 
    310 5.0677e-01 1.6453e-01 
    311 1.5698e+00 4.7027e-01 
    312 1.5587e+00 4.6987e-01 
    313 1.6300e+00 5.3124e-01 
    314 1.5984e+00 4.7967e-01 
    315 1.6516e+00 5.2930e-01 
    316 1.5577e+00 4.7506e-01 
    317 6.4849e-01 2.6994e-01 
    318 6.8618e-01 2.5184e-01 
    319 1.6050e+00 4.7764e-01 
    320 1.5482e+00 4.6161e-01 
    321 4.7179e-01 2.1100e-01 
    322 1.6724e+00 5.0566e-01 
    323 6.5728e-01 2.0864e-01 
    324 4.3791e-01 1.2852e-01 
    325 1.5392e+00 4.8298e-01 
    326 8.4054e-01 2.9827e-01 
    327 1.5568e+00 4.7368e-01 
    328 1.4071e+00 4.7804e-01 
    329 1.5790e+00 4.3980e-01 
    330 1.3684e+00 4.7380e-01 
    331 1.6305e+00 5.1073e-01 
    332 1.5247e+00 4.5504e-01 
    333 1.6703e+00 5.0603e-01 
    334 5.4635e-01 2.1476e-01 
    335 1.6424e+00 5.2022e-01 
    336 1.5174e+00 4.7303e-01 
    337 8.1728e-01 1.9399e-01 
    338 7.2898e-01 2.6870e-01 
    339 1.3968e+00 4.8665e-01 
    340 1.5711e+00 4.7337e-01 
    341 1.4450e+00 4.5327e-01 
    342 5.3169e-01 1.5426e-01 
    343 6.4358e-01 2.5514e-01 
    344 5.2082e-01 2.2833e-01 
    345 6.7515e-01 2.5824e-01 
    346 4.6909e-01 2.1918e-01 
    347 4.1383e-01 2.5170e-01 
    348 1.4889e+00 4.6596e-01 
    349 8.6463e-01 3.2800e-01 
    350 6.6461e-01 1.6449e-01 
    351 1.6911e+00 5.3437e-01 
    352 1.5793e+00 4.7051e-01 
    353 5.2563e-01 1.8488e-01 
    354 1.6062e+00 4.8689e-01 
    355 1.5500e+00 4.8289e-01 
    356 1.6839e+00 5.3152e-01 
    357 1.4819e+00 4.8535e-01 
    358 1.5268e+00 4.5886e-01 
    359 1.6710e+00 5.2233e-01 
    360 8.4419e-01 3.0070e-01 
    361 1.2176e+00 4.3248e-01 
    362 1.6420e+00 5.2038e-01 
    363 4.4161e-01 1.3529e-01 
    364 1.3752e+00 4.6772e-01 
    365 8.4987e-01 3.3758e-01 
    366 1.5115e+00 4.7867e-01 
    367 1.6479e+00 5.3651e-01 
    368 1.6666e+00 5.2729e-01 
    369 1.4323e+00 4.1868e-01 
    370 6.9084e-01 2.2890e-01 
    371 1.5707e+00 5.4003e-01 
    372 1.5699e+00 4.8261e-01 
    373 1.5865e+00 4.9380e-01 
    374 4.8180e-01 1.4091e-01 
    375 1.6737e+00 5.0965e-01 
    376 1.6418e+00 5.1323e-01 
    377 1.5888e+00 4.7849e-01 
    378 1.0860e+00 2.5754e-01 
    379 1.1401e+00 2.5583e-01 
    380 1.5640e+00 4.7121e-01 
    381 1.2427e+00 4.0684e-01 
    382 1.5661e+00 4.7687e-01 
    383 1.1737e+00 4.0605e-01 
    384 1.4411e+00 4.6629e-01 
    385 1.6414e+00 5.2142e-01 
    386 1.5318e+00 4.6301e-01 
    387 8.0507e-01 2.9888e-01 
    388 1.6105e+00 4.4861e-01 
    389 8.4519e-01 3.1598e-01 
    390 8.7737e-01 3.3032e-01 
    391 1.6512e+00 5.1762e-01 
    392 1.4483e+00 4.7209e-01 
    393 1.6725e+00 5.2431e-01 
    394 1.4438e+00 4.5629e-01 
    395 1.6288e+00 4.4854e-01 
    396 8.4893e-01 2.5893e-01 
    397 9.4166e-01 2.8692e-01 
    398 1.4994e+00 4.6234e-01 
    399 1.1296e+00 3.9458e-01 
    400 1.5038e+00 4.6157e-01 
    401 9.1611e-01 3.6758e-01 
    402 1.4343e+00 4.6078e-01 
    403 1.5473e+00 4.7694e-01 
    404 1.5991e+00 5.1073e-01 
    405 1.6018e+00 4.7891e-01 
    406 1.5650e+00 4.8596e-01 
    407 1.5922e+00 4.8514e-01 
    408 8.4788e-01 3.3373e-01 
    409 1.5650e+00 4.7150e-01 
    410 8.2085e-01 2.6954e-01 
    411 4.8127e-01 2.1855e-01 
    412 5.0140e-01 1.7496e-01 
    413 1.5545e+00 4.7699e-01 
    414 1.6639e+00 5.3274e-01 
    415 1.6653e+00 5.3217e-01 
    416 1.6645e+00 5.1359e-01 
    417 1.6584e+00 5.1583e-01 
    418 1.4053e+00 4.7513e-01 
    419 1.5284e+00 4.6352e-01 
    420 5.1516e-01 1.8604e-01 
    421 8.5383e-01 2.9299e-01 
    422 8.5488e-01 2.9284e-01 
    423 1.5439e+00 5.2137e-01 
    424 4.5202e-01 2.3611e-01 
    425 5.0170e-01 2.0583e-01 
    426 1.6450e+00 5.2792e-01 
    427 4.8705e-01 1.9975e-01 
    428 1.5798e+00 4.6585e-01 
    429 5.0719e-01 1.9763e-01 
    430 1.5227e+00 4.7347e-01 
    431 1.6161e+00 5.2434e-01 
    432 1.6717e+00 5.0614e-01 
    433 1.5829e+00 4.8244e-01 
    434 1.4789e+00 4.8724e-01 
    435 1.6366e+00 5.1547e-01 
    436 1.6699e+00 5.1359e-01 
    437 1.5064e+00 4.7603e-01 
    438 1.6761e+00 5.1534e-01 
    439 1.5685e+00 4.6614e-01 
    440 5.7149e-01 2.1855e-01 
    441 5.4932e-01 2.1385e-01 
    442 4.2678e-01 1.8112e-01 
    443 1.5863e+00 4.8521e-01 
    444 9.9926e-01 2.9136e-01 
    445 1.6541e+00 5.2306e-01 
    446 3.7386e-01 1.7730e-01 
    447 1.6004e+00 4.7713e-01 
    448 1.5101e+00 5.1060e-01 
    449 1.3773e+00 4.8281e-01 
    450 1.4817e+00 4.4390e-01 
    451 1.5974e+00 4.7882e-01 
    452 1.5693e+00 4.7200e-01 
    453 1.6514e+00 5.2181e-01 
    454 1.6452e+00 5.1422e-01 
    455 1.5209e+00 4.7079e-01 
    456 1.6019e+00 4.7470e-01 
    457 7.1952e-01 2.8472e-01 
    458 4.3784e-01 1.5195e-01 
    459 8.5545e-01 3.1023e-01 
    460 1.6121e+00 5.2258e-01 
    461 1.6918e+00 5.2129e-01 
    462 5.7957e-01 1.2216e-01 
    463 1.5063e+00 4.6116e-01 
    464 1.4852e+00 4.7241e-01 
    465 1.4066e+00 4.4810e-01 
    466 1.6000e+00 5.0346e-01 
    467 5.8323e-01 1.5342e-01 
    468 6.8455e-01 1.7172e-01 
    469 1.5155e+00 4.6173e-01 
    470 1.6597e+00 5.1099e-01 
    471 5.6350e-01 1.5126e-01 
    472 1.0893e+00 4.1835e-01 
    473 1.1003e+00 4.4412e-01 
    474 1.5769e+00 4.7382e-01 
    475 1.5869e+00 4.7142e-01 
    476 1.5834e+00 4.9354e-01 
    477 1.5087e+00 4.7730e-01 
    478 1.6577e+00 5.3249e-01 
    479 1.4825e+00 4.7301e-01 
    480 1.5926e+00 4.7285e-01 
    481 1.5506e+00 4.8531e-01 
    482 4.7922e-01 2.1074e-01 
    483 1.0864e+00 4.7726e-01 
    484 4.9526e-01 2.1003e-01 
    485 1.2280e+00 4.4961e-01 
    486 1.2190e+00 4.1956e-01 
    487 1.5596e+00 4.7500e-01 
    488 1.6008e+00 4.6497e-01 
    489 1.6600e+00 5.2801e-01 
    490 1.7049e+00 5.0728e-01 
    491 4.3419e-01 1.7618e-01 
    492 5.7245e-01 1.9260e-01 
    493 5.6158e-01 2.3268e-01 
    494 1.0992e+00 2.5941e-01 
    495 5.0758e-01 1.8803e-01 
    496 1.6307e+00 5.1385e-01 
    497 1.6601e+00 5.2417e-01 
    498 1.5600e+00 4.9875e-01 
    499 1.6713e+00 5.2498e-01 
    500 1.6748e+00 5.1853e-01 
    501 6.2479e-01 2.3647e-01 
    502 1.6440e+00 4.7839e-01 
    503 1.5386e+00 4.2129e-01 
    504 7.3527e-01 2.2394e-01 
    505 9.0431e-01 3.1211e-01 
    506 1.6571e+00 5.2139e-01 
    507 1.4003e+00 4.6659e-01 
    508 1.3962e+00 4.7047e-01 
    509 1.3487e+00 4.7794e-01 
    510 1.6951e+00 5.0676e-01 
    511 1.5675e+00 4.7193e-01 
    512 5.6900e-01 1.9634e-01 
    513 4.6735e-01 2.0652e-01 
    514 4.2043e-01 1.9152e-01 
    515 1.5878e+00 4.6849e-01 
    516 3.9535e-01 1.5024e-01 
    517 3.3227e-01 1.0279e-01 
    518 1.5979e+00 4.7439e-01 
    519 1.6346e+00 4.8223e-01 
    520 1.6380e+00 5.3304e-01 
    521 5.4681e-01 1.9024e-01 
    522 6.2444e-01 2.0814e-01 
    523 7.2881e-01 1.7742e-01 
    524 1.5707e+00 4.6247e-01 
    525 1.6800e+00 5.0156e-01 
    526 4.2860e-01 1.6202e-01 
    527 6.4181e-01 1.6308e-01 
    528 7.7126e-01 2.1173e-01 
    529 6.9208e-01 2.8861e-01 
    530 8.3230e-01 1.6844e-01 
    531 5.3882e-01 1.1826e-01 
    532 4.8344e-01 1.8070e-01 
    533 5.8703e-01 2.1852e-01 
    534 1.6595e+00 5.2197e-01 
    535 8.2020e-01 2.3383e-01 
    536 1.5780e+00 4.9435e-01 
    537 5.6586e-01 1.7719e-01 
    538 1.6175e+00 4.8354e-01 
    539 1.5903e+00 4.8003e-01 
    540 6.9374e-01 2.5079e-01 
    541 1.5548e+00 5.1997e-01 
    542 6.5041e-01 2.4243e-01 
    543 5.4739e-01 2.1603e-01 
    544 1.5651e+00 4.7574e-01 
    545 1.7095e+00 5.6673e-01 
    546 1.6546e+00 5.0386e-01 
    547 4.2106e-01 1.5081e-01 
    548 1.5093e+00 4.6201e-01 
    549 5.7507e-01 2.2376e-01 
    550 4.0493e-01 2.0042e-01 
    551 1.6071e+00 5.2224e-01 
    552 1.5124e+00 4.8443e-01 
    553 1.6381e+00 5.3336e-01 
    554 5.3989e-01 1.6072e-01 
    555 6.1030e-01 2.0760e-01 
    556 3.9279e-01 1.4822e-01 
    557 1.5436e+00 4.7181e-01 
    558 6.7071e-01 2.2806e-01 
    559 1.4417e+00 4.6366e-01 
    560 5.6757e-01 2.4468e-01 
    561 1.0746e+00 4.0337e-01 
    562 1.6207e+00 5.3434e-01 
    563 7.5492e-01 2.6449e-01 
    564 7.0976e-01 1.9748e-01 
    565 5.1067e-01 2.1036e-01 
    566 6.5183e-01 2.3680e-01 
    567 5.2676e-01 1.7614e-01 
    568 4.5317e-01 1.8362e-01 
    569 6.8988e-01 2.6096e-01 
    570 6.1498e-01 2.3849e-01 
    571 1.6257e+00 5.1533e-01 
    572 1.6844e+00 5.1941e-01 
    573 1.4595e+00 4.8517e-01 
    574 1.6281e+00 5.0936e-01 
    575 4.8028e-01 2.0526e-01 
    576 1.6188e+00 5.1368e-01 
    577 4.5525e-01 1.5870e-01 
    578 5.5796e-01 1.9002e-01 
    579 1.6383e+00 5.2399e-01 
    580 1.6660e+00 5.2238e-01 
    581 1.4390e+00 4.4817e-01 
    582 7.3337e-01 1.6836e-01 
    583 9.0641e-01 2.1414e-01 
    584 1.6847e+00 5.1977e-01 
    585 4.3270e-01 1.9437e-01 
    586 1.5054e+00 4.7655e-01 
    587 5.4226e-01 1.7407e-01 
    588 4.3827e-01 1.7154e-01 
    589 1.5994e+00 4.7504e-01 
    590 4.8293e-01 1.8110e-01 
    591 6.1089e-01 1.5912e-01 
    592 1.5348e+00 4.7606e-01 
    593 1.5545e+00 5.4925e-01 
    594 1.5245e+00 5.4414e-01 
    595 1.5538e+00 4.5477e-01 
    596 6.0390e-01 2.1144e-01 
    597 6.0786e-01 1.5777e-01 
    598 1.6573e+00 4.9618e-01 
    599 6.1421e-01 2.7039e-01 
    600 9.1831e-01 3.3005e-01 
    601 4.6722e-01 1.8335e-01 
    602 1.7081e+00 5.3723e-01 
    603 5.2528e-01 1.1055e-01 
    604 1.6221e+00 4.7703e-01 
    605 5.9004e-01 2.4270e-01 
    606 1.6582e+00 5.2695e-01 
    607 1.7175e+00 5.6157e-01 
    608 1.6587e+00 5.1947e-01 
    609 1.5372e+00 5.1991e-01 
    610 1.5985e+00 5.1594e-01 
    611 1.6367e+00 5.2576e-01 
    612 1.5710e+00 5.2248e-01 
    613 1.6206e+00 5.2188e-01 
    614 1.5877e+00 4.8297e-01 
    615 1.5258e+00 4.8183e-01 
    616 1.6080e+00 5.0012e-01 
    617 1.6423e+00 5.1694e-01 
    618 1.6443e+00 5.0062e-01 
    619 1.5969e+00 4.8001e-01 
    620 1.6072e+00 4.5847e-01 
    621 1.6361e+00 4.6074e-01 
    622 1.6773e+00 5.0164e-01 
    623 5.1783e-01 1.3438e-01 
    624 1.5545e+00 4.7042e-01 
    625 4.5638e-01 1.3128e-01 
    626 1.6429e+00 5.1689e-01 
    627 1.6733e+00 5.2329e-01 
    628 4.8936e-01 1.4585e-01 
    629 1.5903e+00 4.7179e-01 
    630 4.8240e-01 1.5225e-01 
    631 4.1289e-01 1.9228e-01 
    632 1.6542e+00 5.2036e-01 
    633 7.5531e-01 2.7399e-01 
    634 5.1055e-01 2.3709e-01 
    635 5.7467e-01 2.1250e-01 
    636 6.5040e-01 2.3790e-01 
    637 1.4892e+00 5.2098e-01 
    638 1.6163e+00 4.8229e-01 
    639 1.6372e+00 4.8563e-01 
    640 1.6288e+00 5.1301e-01 
    641 1.6045e+00 5.1923e-01 
    642 4.7352e-01 1.6852e-01 
    643 6.3669e-01 1.7978e-01 
    644 4.9762e-01 1.2447e-01 
    645 8.2802e-01 2.2670e-01 
    646 1.4019e+00 4.5001e-01 
    647 1.4987e+00 4.9261e-01 
    648 1.5375e+00 4.8256e-01 
    649 4.8043e-01 1.2020e-01 
    650 1.6543e+00 5.3093e-01 
    651 1.5148e+00 5.0285e-01 
    652 1.6869e+00 5.2867e-01 
    653 1.6757e+00 5.0928e-01 
    654 1.6477e+00 5.0557e-01 
    655 1.6661e+00 5.1638e-01 
    656 1.6103e+00 5.1875e-01 
    657 6.4531e-01 2.4244e-01 
    658 1.5218e+00 4.7871e-01 
    659 5.5397e-01 2.1486e-01 
    660 1.5596e+00 5.0705e-01 
    661 1.6017e+00 5.1515e-01 
    662 1.6470e+00 5.0934e-01 
    663 1.6488e+00 4.5836e-01 
    664 1.6011e+00 4.5712e-01 
    665 1.6311e+00 4.6938e-01 
    666 5.1359e-01 1.9733e-01 
    667 1.6261e+00 5.5454e-01 
    668 5.2414e-01 1.8408e-01 
    669 5.2501e-01 1.5930e-01 
    670 1.5764e+00 4.9457e-01 
    671 1.6336e+00 4.7860e-01 
    672 5.9412e-01 1.9204e-01 
    673 6.5066e-01 1.9558e-01 
    674 8.4921e-01 3.0882e-01 
    675 7.3499e-01 2.4372e-01 
    676 1.5643e+00 5.0883e-01 
    677 4.6822e-01 1.2797e-01 
    678 5.7372e-01 1.7523e-01 
    679 4.5052e-01 1.9959e-01 
    680 1.6454e+00 5.0705e-01 
    681 1.5339e+00 4.2295e-01 
    682 1.6376e+00 5.2186e-01 
    683 1.6178e+00 5.1598e-01 
    684 1.7061e+00 5.6103e-01 
    685 1.7207e+00 5.7038e-01 
    686 1.5860e+00 4.8913e-01 
    687 1.7382e+00 5.7859e-01 
    688 1.6932e+00 5.6322e-01 
    689 1.5017e+00 5.4507e-01 
    690 4.9173e-01 1.9733e-01 
    691 1.4566e+00 5.0590e-01 
    692 6.6896e-01 2.4366e-01 
    693 4.6236e-01 1.9841e-01 
    694 1.6786e+00 5.2756e-01 
    695 1.5528e+00 4.9006e-01 
    696 4.7377e-01 1.9325e-01 
    697 4.9957e-01 1.9861e-01 
